系統序號,建立時間,開課時程,開課年度,開課學期,開課學期名稱,級別名,級別碼,校制碼,校碼,校名,校名關鍵字,_學校名稱,英文校名,郵遞區號,課程名稱,英文名稱,學院名稱,系所名稱,系所英文名稱,學程名稱,分組,年級,開課老師,職稱,學分數,每週上課時數,每週實習時數,課程大綱,課程連結,備註,填表人,男學生修課人數,女學生修課人數,其他學生修課人數,授課語言1,授課語言2,證照1,證照2,學制_,學制,部校訂_,部校訂,科目類別_,科目類別,教學型態_,教學型態,必選修_,必選修,師資來源_,師資來源,全英語教學_,全英語教學,跨校選修_,跨校選修,專兼任_,專兼任,教師分類_,教師分類,聘書職級_,聘書職級,開課老師性別_,開課老師性別,系科屬性_,系科屬性,國外合作遠距課程_,國外合作遠距課程,遠距教學提供字幕_,遠距教學提供字幕,全英語學程_,全英語學程,內涵主題碼,總修課人數,_授課語言,_證照,節次,教室,教學內涵,課號,相似度
8194010,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,國文,Advanced Chinese,文學院,中國文學系,Chinese Literature,,,0,楊明璋,,3,3,0,"""  授課對象為中文系大一學生;故本課程的設計以學生中學所學為基礎;讓學生先再次思索讀書的本質、如何成就人生的智慧等問題;進而引領學生進入較他們中學所認識的唐宋及明清古文、古文家;更為深、廣的領域。尤其是在AI浪潮下;讓AI為我們中文人所用;而非成為AI的奴隸。      一方面選介唐宋、明清古文大家的作品;另一方面加強學生的甄別能力;特別是數位時代流通之文本良莠不齊;文本鑑識力亟需培養;故安排有「古典散文文獻簡介」一單元;主要介紹「傳統集部文獻」、「類書、叢書文獻」、「電子文獻」等三種類型的文獻。同時也引介中、西方文論;建構傳統與現代對話的模式;增進學生對古文鑑賞及語文表達之能力。      Bertrand Russell曾說:「人類自古以來有三個敵人;其一是自然(nature)」;其二是他人(other people);其三是自我(ego)。」故在進行語文教學的同時;也將緊扣「自我叩問」、「人與人(他人、家庭、社會、國家)」、「人與自然(環境)」等來進行探究。  """,,,,6,15,0,中文,,,,學士班(含第二部),11,系定,3,通識科目,1,課堂教學,0,必選修,2,專業系所聘任,1,否,0,否,0,專任,1,一般教師,1,教授,1,男性,1,中國語文細學類,02322,否,0,無,0,否,0,,21,中文,,二234,研究250419,1,031031-02-1,0
8194265,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,聲音自媒體應用與創作,Application and Creation of Voice-Oriented Self-Media,教務處,教務處通識教育中心,Office of Academic Affairs Center of General Education,,,0,吳宇軒,,3,3,0,"""      課程說明:             2020年;台灣邁入Podcast元年;聲音媒體入手相對容易;搭載台灣百花齊放之Podcast平台;2020年台灣新增超過 5;888檔節目;總數將近8;000檔;至今已有超過20;000檔繁體中文節目;其中至少有6;000檔節目定期更新;驚人的成長帶動聽眾的規模快速上升;也帶動許多聲音內容產業製作的可能性。但如何從零到有打造一艘聲音自媒體之船?又如何組成合適的隊伍?又如何開始航行?過程會經過哪些魔幻時刻?        為使前述畫面得以想像並實踐;本課程以「節目企劃」、「節目製作」與「節目展演」三大重心進行教學;除講師授課;亦將帶領學生進行討論及提案製作;以聲音產業的媒體專業性;搭載自媒體個人品牌特性;多管齊下將學生專業結合自媒體傳播特性;從聲音節目企劃、產業現況、節目企劃到軟硬體內容落實;進行跨域應用創作及後續社群推廣經營;達到綜效學習效果;也更符合產業製作碎片之化趨勢。        「節目企劃」環節從議題設定、創意發想、內容執行到效益評估;以結合業界講師個人作品與廣播Podcast經驗;搭載厚實理論對談與企劃評鑑建議;帶領學生從零開始;「看看別人想想自己」;完善理解企劃製作與執行的關鍵元素。        「節目製作」則圍繞「主持訓練」、「製作亮點」、「設備介紹」、「後製剪輯」、「版權認識」、「AI輔助」等環節規劃;希望學生能從零到有認識並掌握製作面向的多元性。        最後則是「節目展演」;透過期中的節目提案與Live Podcast活動規劃;力求爭取最多觀眾買單入場成為「VIP」;並在期末的Live Podcast結合活動流程與Podcast節目企劃;吸引觀眾訂閱節目、成為粉絲。由此讓學生理解自媒體市場生態;並得以評估投入自媒體市場的潛力。               習得技能分析:          透過本課程的企劃與實作安排;學生將能體驗實務過程從理解、發想到設計;並滾動式修正的精神;幫助學生在自媒體時代;能有提案、製作內容與展演之基礎能力。  """,,,,23,30,0,中文,,,,學士班(含第二部),11,系定,3,通識科目,1,課堂教學,0,必選修,2,專業系所聘任,1,否,0,否,0,兼任,2,一般教師,1,助理教授,3,男性,1,通識中心,99902,否,0,無,0,否,0,,53,中文,,一78E,大勇210417,1,090126-00-1,0
8194268,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,劇本寫作與AI協作,Collaborative Screenwriting with AI,文學院,文學院,Liberal Arts,,,0,吳彥杰,,1,0,0,"""人工智慧應渴望而生;迅速編織出模式與文字。然而這反而讓我們自問:書寫的真諦為何?機器的創作;是否真的能稱作創作?    作為一名影視製作人和編劇;我使用AI協助寫作提案和劇本;這讓我重新審視自己的靈魂;也更加專注於創作的本質與品質。我想跟大家分享這一路上的心得。    這門課程旨在幫助學生了解和應用AI技術於劇本寫作;激發創作靈感;構建角色和發展情節。課程將於某學期九月開學前一周以兩天密集授課的形式進行。通過這門課程;你將學會如何讓技術服務於你的創意和靈感。    課程重點:       了解AI技術在文學創作中的應用   探索AI如何應用於劇本寫作中;了解其原理和極限;發掘其在文學創作中的潛力。   激發創作靈感   探索如何利用AI工具來激發創作靈感;構建鮮活的角色和發展引人入勝的故事情節。   實踐劇本寫作技巧   學習和實踐利用AI進行劇本寫作的技巧;最終創作出一個完整且具有質量的劇本。   探索AI時代的敘事方式   探討在AI時代;敘事方式如何改變我們創建、分享和體驗故事的方式。學習如何運用精準的提示策略;例如少樣本提示和零樣本提示;使AI的創作理念與你同步。      報名和參加條件:       本課程採密集授課形式;有意修課的同學需在開課公告期限內填寫Google表單報名;並接獲通知後始具備上課資格。   獲得上課資格通知的修課同學需自備筆電並事先註冊相關ChatGPT工具帳號。   自選: 如果想要進一步探索進階功能;例如:得到更多的高階版本對話條目、為(劇本)專案建構GPTs機器人;或是使用GPT Store中的外掛功能;請於上課時訂閱一個月Plus(20美金)。   本課程不開放系統選課;修課同學完成兩日密集課程;並繳交課堂作業後;再由開課單位進行加選並追認學分。   本課為大學部1學分課程;碩博士生可報名修習視為旁聽生;不會認列為成績單上的學分;若需學分;則需繳交學分費。   本課程為114學年第1學期課程;學生如於開課當期出國交換、辦理休學或保留學籍或退學;甚至於開學前一學期已畢業者;將無法獲得學分;但可視為旁聽生參加修習。    """,,,,3,2,0,中文,,,,學士班(含第二部),11,校定,0,專業科目,3,課堂教學,0,選修,0,專業系所聘任,1,否,0,否,0,兼任,2,一般教師,1,助理教授,3,男性,1,其他不能歸類之各學類,99901,否,0,無,0,否,0,,5,中文,,另洽系所,另洽系所,1,100716-00-1,0
8194302,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,班級經營,Class Management,教育學院,教育學系,Education,,,3,林進山,,2,2,0,"""《班級經營》這堂課主要是透過理論講述、合作學習、小組討論、教學現場觀察、實際訪談班級經營技巧、班級個案處理分析、分享報告、AI蒐集資料、討論對話班級經營技巧和撰寫班級經營計畫書等方式;讓同學了解如何建立有效的班級經營。並藉由理性批判和感性思維;了解教學現場的班級經營策略;培育其未來職場的連結與應用。  """,,,,15,38,0,中文,,,,學士班(含第二部),11,系定,3,專業科目,3,課堂教學,0,必選修,2,專業系所聘任,1,否,0,否,0,專任,1,一般教師,1,副教授,2,男性,1,綜合教育細學類,01111,否,0,無,0,否,0,,53,中文,,四34,井塘020413,1,102109-00-1,0
8194594,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,行政統計學,Fundamental Statistics for Public Administration,社會科學學院,公共行政學系,Public Administration,,,1,蕭乃沂,,3,3,0,"""首先;讓我們先談談許多同學心中的大哉問:「當初我就是討厭數學才選社會組的;為啥公共行政學系、甚至所有社會科學領域的科系統計學都還要必修 XD」    作為所有專業領域(包括公共行政與政策)的資料科學(data science)入門課程;本課程主要是讓從未接觸過統計方法的同學;具備公共行政與政策專業中量化資料分析的基礎知識與技能。    課程首先介紹敘述統計(descriptive statistics)與相關圖表的製作與呈現;其次將介紹作為推論統計(inferential statistics)基礎的相關機率理論(probability theory)與抽樣分配(sampling distribution);最後則操作推論統計分析中常用的點估計與區間估計;並實作卡方檢定、變異數分析、相關與簡單迴歸分析。    除了基本的紙筆計算;同學也必須運用電腦軟體 (如 Excel、JASP)實際操作統計方法並解讀分析成果。另外;鑑於生成式 AI(artificial intelligence; GenAI)工具的普及(如 ChatGPT、Claude、Gemini、Perplexity 等);本課程也將盡力善用。    其他補充詳如本課程共學大綱:https://docs.google.com/document/d/1nM-Cm3yMrx8Q_cZKHQ7GnyEttHxZSoOjvuZXmiCNvr8/edit?usp=sharing  """,,,,14,43,0,中文,,,,學士班(含第二部),11,系定,3,專業科目,3,課堂教學,0,必修,1,專業系所聘任,1,否,0,否,0,專任,1,一般教師,1,副教授,2,男性,1,公共行政細學類,04134,否,0,無,0,否,0,,57,中文,,二234,綜南270312,1,206052-00-1,0
8194602,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,人工智慧治理,Artificial Intelligence (AI) Governance,社會科學學院,公共行政學系,Public Administration,,,3,曾憲立,,2,2,0,培養學生理解人工智慧原理、應用情境與風險;具備AI素養與基本治理能力;能參與公共領域AI相關政策討論與實務規劃。,https://moodle45.nccu.edu.tw/,,,10,9,0,中文,,,,學士班(含第二部),11,校定,0,專業科目,3,遠距教學（非同步）,3,選修,0,專業系所聘任,1,否,0,否,0,兼任,2,一般教師,1,助理教授,3,男性,1,公共行政細學類,04134,否,0,無,0,否,0,,19,中文,,二56,綜北270403,1,206789-00-1,0
8195068,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,歐盟經貿法,European Union Economic Law,商學院,國際經營與貿易學系,International Business,,,1,洪德欽,,2,2,0,"""歐盟乃一不斷發展之動態統合過程;不同學說試圖解釋此一新興現象與演進背景。歐盟政經統合已發展至貨幣同盟階段;並推動共同外交暨安全政策、銀行聯盟、資本市場聯盟、能源聯盟、單一數位經濟市場並規劃財政聯盟等;形成最高整合層次的區域經貿整合組織;歐盟自稱為「超國家組織」。歐盟法律與政策皆是27個會員國利益相互激盪、競爭、辯證及調和之結果;代表歐洲集體智慧與創意巧思。歐盟乃WTO正式會員;並積極參與國際組織活動;據此;歐盟政策不但規範其所屬會員國;也深深影響國際規則發展動向;值得吾人共同關心;參考借鑑。    歐盟是以內部市場及對外貿易取得最大成就。本課程將介紹歐盟經貿專題;包括共同貿易政策、歐盟新一代FTA政策、貨幣政策、歐元、數位策略、人工智慧法(AIA)、數位服務法(DSA)、數位市場法(DMA)、防治假訊息、食品安全;COVID-19因應、俄烏戰爭因應、歐盟對外關係、中美競爭地緣政治變遷對歐盟的影響;以及台歐經貿關係等議題。這些議題皆是國際學術主流議題;頗具時效性及挑戰性。    本課程也將從事下列專題研究:    (1) 歐盟共同貿易政策:本課程共同貿易政策專題研究將討論:歐盟新一代FTA政策、國家安全與歐盟外資審查機制、歐盟晶片與半導體發展策略、歐盟與我國及中國大陸之經貿關係、中美競爭地緣政治對歐盟的影響等重要議題。    (2) 歐盟經貿法專題:歐盟碳邊境調整機制(CBAM)、ESG企業責任;以及俄烏戰爭對歐盟能源安全與歐俄能源貿易關係的影響等議題。    (3) 歐盟數位策略、AIA、DSA及DMA、數位歐元、防治假訊息專題。  """,,,,1,1,0,中文,,,,碩士班,21,校定,0,專業科目,3,課堂教學,0,選修,0,專業系所聘任,1,否,0,否,0,兼任,2,一般教師,1,教授,1,男性,1,國際貿易細學類,04141,否,0,無,0,否,0,,2,中文,,四EF,法學院305講堂,1,351748-00-1,0
8195351,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,紀實採寫,News Reporting and Writing,傳播學院,傳播學院大一大二不分系,Undeclared Major in College of Communication,,,2,江靜之,,3,3,0,"""本課程從AI無法取代的紀實採寫能力開始;培養學生:1.感知相關機構情境;2.了解新聞分類特徵;3.掌握新聞重點;4.執行新聞訪問;5.撰寫紀實報導等能力。  """,,,,3,13,0,中文,,,,學士班(含第二部),11,校定,0,專業科目,3,課堂教學,0,選修,0,專業系所聘任,1,否,0,否,0,專任,1,一般教師,1,教授,1,女性,2,大眾傳播細學類,03211,否,0,無,0,否,0,,16,中文,,五D56,研究250419,1,405948-01-1,0
8195355,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,機器人與AI互動專題:理論與研究,Seminar on Human-Robot Interaction and Human-AI Interaction: Theories and Research,傳播學院,國際傳播英語碩士學位學程,International Master's Program in International Communication Studies,國際傳播英語碩士學位學程,,1,侯宗佑,,3,0,0,"""請注意:此門課程將以英語授課;所有的課間報告與討論也將以英文進行。Note: This course will be taught in English. All the in-class presentations and discussions will also be in English.        This seminar course explores advanced theories and research in Human-Robot Interaction (HRI) and Human-AI Interaction (HAI). Students will examine cutting-edge studies and core concepts in the field; including interaction dynamics; social implications; and the evolving roles of robots and AI agents in human environments. Through in-depth discussions and analyses of academic papers; students will critically evaluate the theoretical and empirical foundations of HRI and HAI while considering their applications in diverse contexts. The course also emphasizes understanding how these technologies influence communication; collaboration; and social structures.  """,,,,0,3,0,英文,,,,碩士班,21,校定,0,專業科目,3,課堂教學,0,選修,0,專業系所聘任,1,是,1,否,0,專任,1,一般教師,1,助理教授,3,男性,1,大眾傳播細學類,03211,否,0,無,0,是,1,,3,英文,,二567,藝文370218,1,461851-00-1,0
8195356,2025/10/22 下午 07:20:06,11401,114,1,上學期,國立大學,10,,0001,國立政治大學,國立  國立政治大學 政大 政治大,國立政治大學國立  國立政治大學 政大 政治大National Chengchi University (NCCU),National Chengchi University (NCCU),11605,數位顛覆、新聞媒體與公民,Digital Disruption; News Media; and Citizens,傳播學院,國際傳播英語碩士學位學程,International Master's Program in International Communication Studies,國際傳播英語碩士學位學程,,1,游絲涵,,3,3,0,"""In this course we critically reflect on disruption to news practices and civic engagement caused by information and communication technologies. In doing so; we hold a historical view of the development of the media; considering both continuity and change in news production and consumption processes. We ask and analyse such questions as &lsquo;In what ways have mass media and legacy news media been transformed in the digital age? How do search engines and social media platforms shape news production processes? What role do journalists play in these processes? How do they imagine and address their news audiences? How do citizens of Taiwan and of other (democratic) societies engage with news? How do they make sense of news values and involve in content creation? What opportunity and risk has artificial intelligence (AI; hereafter) created for journalists and news audiences? How do digital innovations disrupt political communication processes; particularly pertaining to election and war? How do ordinary citizens deal with fake news?&rsquo; In our discussion on these questions; we regard digital technological innovation as one of important sites for producing; consuming and communicating news; and for acknowledging (public) values and constructing (civic) identities. Our inquiry into digital disruption to journalism and citizenship therefore goes beyond a matter of technological progress but focuses on the issues of affordances; experiences; identities; social imaginaries; and ethics. Moreover; our examination of these issues will investigate the global nature of digital media and simultaneously involve contextualising national and local cultures.  """,,,,5,10,0,英文,,,,碩士班,21,校定,0,專業科目,3,課堂教學,0,選修,0,專業系所聘任,1,是,1,否,0,專任,1,一般教師,1,助理教授,3,女性,2,大眾傳播細學類,03211,否,0,無,0,是,1,,15,英文,,三567,傳播310206,1,461855-00-1,0
